Name,Team,Number,Position,Age,Height,Weight,College,Salary
Jordan Mickey,Boston Celtics,55,PF,21,43624,235,LSU,1170960
Jorge Gutierrez,Charlotte Hornets,12,PG,27,43619,189,California,189455
Josh Huestis,Oklahoma City Thunder,34,SF,24,43623,230,Stanford,1140240
Josh McRoberts,Miami Heat,4,PF,29,43626,240,Duke,5543725
Josh Richardson,Miami Heat,0,SG,22,43622,200,Tennessee,525093
Jrue Holiday,New Orleans Pelicans,11,PG,25,43620,205,UCLA,10595507
Julius Randle,Los Angeles Lakers,30,PF,21,43625,250,Kentucky,3132240
Justin Anderson,Dallas Mavericks,1,SG,22,43622,228,Virginia,1449000
Justin Holiday,Chicago Bulls,7,SG,27,43622,185,Washington,947276
Justise Winslow,Miami Heat,20,SF,20,43623,225,Duke,2481720
K.J. McDaniels,Houston Rockets,32,SG,23,43622,205,Clemson,3189794
Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,36708,244,Kentucky,5703600
Kawhi Leonard,San Antonio Spurs,2,SF,24,43623,230,San Diego State,16407500
Kelly Olynyk,Boston Celtics,41,C,25,36708,238,Gonzaga,2165160
Kelly Oubre Jr.,Washington Wizards,12,SF,20,43623,205,Kansas,1920240
Kemba Walker,Charlotte Hornets,15,PG,26,43617,184,Connecticut,12000000
Kendall Marshall,Philadelphia 76ers,5,PG,24,43620,200,North Carolina,2144772
Kenneth Faried,Denver Nuggets,35,PF,26,43624,228,Morehead State,11235955
Kent Bazemore,Atlanta Hawks,24,SF,26,43621,201,Old Dominion,2000000
Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,43621,205,Georgia,2891760
Kevin Durant,Oklahoma City Thunder,35,SF,27,43625,240,Texas,20158622
Kevin Love,Cleveland Cavaliers,0,PF,27,43626,251,UCLA,19689000
Kevin Martin,San Antonio Spurs,23,SG,33,43623,199,Western Carolina,200600
Kevon Looney,Golden State Warriors,36,SF,20,43625,220,UCLA,1131960
Khris Middleton,Milwaukee Bucks,22,SG,24,43624,234,Texas A&M,14700000
Kirk Hinrich,Atlanta Hawks,12,SG,35,43620,190,Kansas,2854940
Klay Thompson,Golden State Warriors,11,SG,26,43623,215,Washington State,15501000
Kosta Koufos,Sacramento Kings,41,C,27,36708,265,Ohio State,7700000
Kris Humphries,Atlanta Hawks,43,PF,31,43625,235,Minnesota,1000000
Kyle Anderson,San Antonio Spurs,1,SF,22,43625,230,UCLA,1142880
Kyle Korver,Atlanta Hawks,26,SG,35,43623,212,Creighton,5746479
Kyle Lowry,Toronto Raptors,7,PG,30,36678,205,Villanova,12000000
Kyle O'Quinn,New York Knicks,9,PF,26,43626,250,Norfolk State,3750000
Kyle Singler,Oklahoma City Thunder,5,SF,28,43624,228,Duke,4500000
Kyrie Irving,Cleveland Cavaliers,2,PG,24,43619,193,Duke,16407501
Lamar Patterson,Atlanta Hawks,13,SG,24,43621,225,Pittsburgh,525093
LaMarcus Aldridge,San Antonio Spurs,12,PF,30,43627,240,Texas,19689000
Lance Stephenson,Memphis Grizzlies,1,SF,25,43621,230,Cincinnati,9000000
Lance Thomas,New York Knicks,42,SF,28,43624,235,Duke,1636842
Langston Galloway,New York Knicks,2,SG,24,43618,200,Saint Joseph's,845059
Larry Nance Jr.,Los Angeles Lakers,7,PF,23,43625,230,Wyoming,1155600
Lavoy Allen,Indiana Pacers,5,PF,27,43625,255,Temple,4050000
Lorenzo Brown,Detroit Pistons,17,PG,25,43621,189,North Carolina State,111444
Lou Amundson,New York Knicks,17,PF,33,43625,220,UNLV,1635476
Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,43624,230,UCLA,947276
Luis Montero,Portland Trail Blazers,44,SG,23,43623,185,Westchester CC,525093
Luke Babbitt,New Orleans Pelicans,8,SF,26,43625,225,Nevada,1100602
Luol Deng,Miami Heat,9,SF,31,43625,220,Duke,10151612
Marcus Morris,Detroit Pistons,13,PF,26,43625,235,Kansas,5000000
Marcus Smart,Boston Celtics,36,PG,22,43620,220,Oklahoma State,3431040
Marcus Thornton,Washington Wizards,15,SF,29,43620,205,LSU,200600
Markel Brown,Brooklyn Nets,22,SG,24,43619,190,Oklahoma State,845059
Markieff Morris,Washington Wizards,5,PF,26,43626,245,Kansas,8000000
Marreese Speights,Golden State Warriors,5,C,28,43626,255,Florida,3815000
Marvin Williams,Charlotte Hornets,2,PF,29,43625,237,North Carolina,7000000
Mason Plumlee,Portland Trail Blazers,24,C,26,43627,235,Duke,1415520
Matt Barnes,Memphis Grizzlies,22,SF,36,43623,226,UCLA,3542500
Matt Bonner,San Antonio Spurs,15,C,36,43626,235,Florida,947276
Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,43620,198,Saint Mary's,1147276
Maurice Harkless,Portland Trail Blazers,4,SF,23,43625,215,St. John's,2894059
Metta World Peace,Los Angeles Lakers,37,SF,36,43623,260,St. John's,947276
Meyers Leonard,Portland Trail Blazers,11,PF,24,43647,245,Illinois,3075880
Michael Beasley,Houston Rockets,8,SF,27,43626,235,Kansas State,306527
Michael Carter-Williams,Milwaukee Bucks,5,PG,24,43622,190,Syracuse,2399040
Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,43623,232,Kentucky,6331404
Mike Conley,Memphis Grizzlies,11,PG,28,43617,175,Ohio State,9588426
Mike Dunleavy,Chicago Bulls,34,SG,35,43625,230,Duke,4500000
Mike Miller,Denver Nuggets,3,SG,36,43624,218,Florida,947276
Mike Muscala,Atlanta Hawks,31,PF,24,43627,240,Bucknell,947276
Mike Scott,Atlanta Hawks,32,PF,27,43624,237,Virginia,3333333
Miles Plumlee,Milwaukee Bucks,18,C,27,43627,249,Duke,2109294
Mitch McGary,Oklahoma City Thunder,33,PF,24,43626,255,Michigan,1463040
Mo Williams,Cleveland Cavaliers,52,PG,33,43617,198,Alabama,2100000
Montrezl Harrell,Houston Rockets,35,PF,22,43624,240,Louisville,1000000
Myles Turner,Indiana Pacers,33,PF,20,43627,243,Texas,2357760
Nazr Mohammed,Oklahoma City Thunder,13,C,38,43626,250,Kentucky,222888
Nerlens Noel,Philadelphia 76ers,4,PF,22,43627,228,Kentucky,3457800
Nick Collison,Oklahoma City Thunder,4,PF,35,43626,255,Kansas,3750000
Nick Young,Los Angeles Lakers,0,SF,31,43623,210,USC,5219169
Nik Stauskas,Philadelphia 76ers,11,SG,22,43622,205,Michigan,2869440
Nikola Vucevic,Orlando Magic,9,C,25,36708,260,USC,11250000
Noah Vonleh,Portland Trail Blazers,21,PF,20,43625,240,Indiana,2637720
Norman Powell,Toronto Raptors,24,SG,23,43620,215,UCLA,650000
Norris Cole,New Orleans Pelicans,30,PG,27,43618,175,Cleveland State,3036927
O.J. Mayo,Milwaukee Bucks,3,SG,28,43621,210,USC,8000000
Orlando Johnson,New Orleans Pelicans,0,SG,27,43621,220,UC Santa Barbara,55722
Otto Porter Jr.,Washington Wizards,22,SF,23,43624,198,Georgetown,4662960
P.J. Hairston,Memphis Grizzlies,19,SF,23,43622,230,North Carolina,1201440
P.J. Tucker,Phoenix Suns,17,SF,31,43622,245,Texas,5500000
Pat Connaughton,Portland Trail Blazers,5,SG,23,43621,206,Notre Dame,625093
Patrick Beverley,Houston Rockets,2,PG,27,43617,185,Arkansas,6486486
Patrick Patterson,Toronto Raptors,54,PF,27,43625,235,Kentucky,6268675
Patty Mills,San Antonio Spurs,8,PG,27,36678,185,Saint Mary's,3578947
Paul George,Indiana Pacers,13,SF,26,43625,220,Fresno State,17120106
Paul Millsap,Atlanta Hawks,4,PF,31,43624,246,Louisiana Tech,18671659
Paul Pierce,Los Angeles Clippers,34,SF,38,43623,235,Kansas,3376000
Phil Pressey,Phoenix Suns,25,PG,25,43596,175,Missouri,55722
Quincy Acy,Sacramento Kings,13,SF,25,43623,240,Baylor,981348
Quincy Pondexter,New Orleans Pelicans,20,SF,28,43623,220,Washington,3382023
R.J. Hunter,Boston Celtics,28,SG,22,43621,185,Georgia State,1148640
Rajon Rondo,Sacramento Kings,9,PG,30,43617,186,Kentucky,9500000
Rakeem Christmas,Indiana Pacers,25,PF,24,43625,250,Syracuse,1007026
Ramon Sessions,Washington Wizards,7,PG,30,43619,190,Nevada,2170465
Randy Foye,Oklahoma City Thunder,6,SG,32,43620,213,Villanova,3135000
Rashad Vaughn,Milwaukee Bucks,20,SG,19,43622,202,UNLV,1733040
Raymond Felton,Dallas Mavericks,2,PG,31,43617,205,North Carolina,3950313
Reggie Bullock,Detroit Pistons,25,SF,25,43623,205,North Carolina,1252440
Reggie Jackson,Detroit Pistons,1,PG,26,43619,208,Boston College,13913044
Richard Jefferson,Cleveland Cavaliers,24,SF,35,43623,233,Arizona,947276
Richaun Holmes,Philadelphia 76ers,22,PF,22,43626,245,Bowling Green,1074169
Robert Covington,Philadelphia 76ers,33,SF,25,43625,215,Tennessee State,1000000
Robert Sacre,Los Angeles Lakers,50,C,27,36708,270,Gonzaga,981348
Robin Lopez,New York Knicks,8,C,28,36708,255,Stanford,12650000
Rodney Hood,Utah Jazz,5,SG,23,43624,206,Duke,1348440
Rodney Stuckey,Indiana Pacers,2,PG,30,43621,205,Eastern Washington,7000000
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,43623,220,Arizona,1335480
Ronnie Price,Phoenix Suns,14,PG,32,43618,190,Utah Valley,947276
Roy Hibbert,Los Angeles Lakers,17,C,29,43648,270,Georgetown,15592217
Rudy Gay,Sacramento Kings,8,SF,29,43624,230,Connecticut,12403101
Russell Westbrook,Oklahoma City Thunder,0,PG,27,43619,200,UCLA,16744218
Ryan Anderson,New Orleans Pelicans,33,PF,28,43626,240,California,8500000
Ryan Kelly,Los Angeles Lakers,4,PF,25,43627,230,Duke,1724250
Sam Dekker,Houston Rockets,7,SF,22,43625,230,Wisconsin,1646400
Sasha Kaun,Cleveland Cavaliers,14,C,31,43627,260,Kansas,1276000
Sean Kilpatrick,Brooklyn Nets,6,SG,26,43620,219,Cincinnati,134215
Seth Curry,Sacramento Kings,30,SG,25,43618,185,Duke,947276
Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,43622,223,UCLA,2056920
Shabazz Napier,Orlando Magic,13,PG,24,43617,175,Connecticut,1294440
Shane Larkin,Brooklyn Nets,0,PG,23,43596,175,Miami (FL),1500000
Shayne Whittington,Indiana Pacers,42,PF,25,43627,250,Western Michigan,845059
Shelvin Mack,Utah Jazz,8,PG,26,43619,203,Butler,2433333
Solomon Hill,Indiana Pacers,44,SF,25,43623,225,Arizona,1358880
Spencer Dinwiddie,Detroit Pistons,8,PG,23,43622,200,Colorado,845059
Spencer Hawes,Charlotte Hornets,0,PF,28,43647,245,Washington,6110034
Stanley Johnson,Detroit Pistons,3,SF,20,43623,245,Arizona,2841960
Stephen Curry,Golden State Warriors,30,PG,28,43619,190,Davidson,11370786
Steve Blake,Detroit Pistons,22,PG,36,43619,172,Maryland,2170465
Steve Novak,Milwaukee Bucks,6,SF,32,43626,225,Marquette,295327
Steven Adams,Oklahoma City Thunder,12,C,22,36708,255,Pittsburgh,2279040
T.J. McConnell,Philadelphia 76ers,12,PG,24,43618,200,Arizona,525093
T.J. Warren,Phoenix Suns,12,SF,22,43624,230,North Carolina State,2041080
Taj Gibson,Chicago Bulls,22,PF,30,43625,225,USC,8500000
Tarik Black,Los Angeles Lakers,28,C,24,43625,250,Kansas,845059
Tayshaun Prince,Minnesota Timberwolves,12,SF,36,43625,212,Kentucky,947276
Terrence Jones,Houston Rockets,6,PF,24,43625,252,Kentucky,2489530
Terrence Ross,Toronto Raptors,31,SF,25,43623,195,Washington,3553917
Terry Rozier,Boston Celtics,12,PG,22,43618,190,Louisville,1824360
Thaddeus Young,Brooklyn Nets,30,PF,27,43624,221,Georgia Tech,11235955
Thomas Robinson,Brooklyn Nets,41,PF,25,43626,237,Kansas,981348
Tim Duncan,San Antonio Spurs,21,C,40,43627,250,Wake Forest,5250000
Tim Frazier,New Orleans Pelicans,2,PG,25,43617,170,Penn State,845059
Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,43622,205,Michigan,1304520
Tobias Harris,Detroit Pistons,34,SF,23,43625,235,Tennessee,16000000
Toney Douglas,New Orleans Pelicans,16,PG,30,43618,195,Florida State,1164858
Tony Allen,Memphis Grizzlies,9,SG,34,43620,213,Oklahoma State,5158539
Tony Snell,Chicago Bulls,20,SF,24,43623,200,New Mexico,1535880
Tony Wroten,New York Knicks,5,SG,23,43622,205,Washington,167406
Trevor Ariza,Houston Rockets,1,SF,30,43624,215,UCLA,8193030
Trevor Booker,Utah Jazz,33,PF,28,43624,228,Clemson,4775000
Trey Burke,Utah Jazz,3,PG,23,43617,191,Michigan,2658240
Trey Lyles,Utah Jazz,41,PF,20,43626,234,Kentucky,2239800
Tristan Thompson,Cleveland Cavaliers,13,C,25,43625,238,Texas,14260870
Troy Daniels,Charlotte Hornets,30,SG,24,43620,205,Virginia Commonwealth,947276
Ty Lawson,Indiana Pacers,10,PG,28,43596,195,North Carolina,211744
Tyler Ennis,Milwaukee Bucks,11,PG,21,43619,194,Syracuse,1662360
Tyler Hansbrough,Charlotte Hornets,50,PF,30,43625,250,North Carolina,947276
Tyler Johnson,Miami Heat,8,SG,24,43620,186,Fresno State,845059
Tyler Zeller,Boston Celtics,44,C,26,36708,253,North Carolina,2616975
Tyreke Evans,New Orleans Pelicans,1,SG,26,43622,220,Memphis,10734586
Tyus Jones,Minnesota Timberwolves,1,PG,20,43618,195,Duke,1282080
Udonis Haslem,Miami Heat,40,PF,36,43624,235,Florida,2854940
Victor Oladipo,Orlando Magic,5,SG,24,43620,210,Indiana,5192520
Vince Carter,Memphis Grizzlies,15,SG,39,43622,220,North Carolina,4088019
Wayne Ellington,Brooklyn Nets,21,SG,28,43620,200,North Carolina,1500000
Wesley Johnson,Los Angeles Clippers,33,SF,28,43623,215,Syracuse,1100602
Wesley Matthews,Dallas Mavericks,23,SG,29,43621,220,Marquette,16407500
Will Barton,Denver Nuggets,5,SF,25,43622,175,Memphis,3533333
Willie Cauley-Stein,Sacramento Kings,0,C,22,36708,240,Kentucky,3398280
Willie Reed,Brooklyn Nets,33,PF,26,43626,220,Saint Louis,947276
Wilson Chandler,Denver Nuggets,21,SF,29,43624,225,DePaul,10449438
Zach LaVine,Minnesota Timberwolves,8,PG,21,43621,189,UCLA,2148360
Zach Randolph,Memphis Grizzlies,50,PF,34,43625,260,Michigan State,9638555
